objectid;anlage;adresse;typ;gruppe;lng;lat
1;Klettergarten Roßfall (ÖAV);Höttinger Alm;Klettergarten;Fitness/Klettern;11.364655117;47.2963692600001
2;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11.415853409;47.2917330490001
3;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11.41497595;47.291621558
4;Landeshauptschießstand Arzl;Eggenwaldweg 60;Schießstand;Sonstiges;11.427154455;47.2899562970001
5;Spielplatz Arzler Schießstand;Eggenwaldweg;Fußballplatz;Fußball/Football;11.4247514150001;47.289429039
6;Spielplatz Arzler Schießstand;Eggenwaldweg;Leichtathletikanlage;Sonstiges;11.424681349;47.2891710960001
7;Fitnessparkour Fit 2000 Hungerburg;Hungerburgweg;Fitnessparkour;Fitness/Klettern;11.397648771;47.2868725610001
8;Spielplatz Hungerburg;Gramartstraße;Sportplatz;Spielplatz;11.394771312;47.2866579390001
9;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.3937202610001;47.284982744
10;Sporthalle VS Arzl;Framsweg 19;Sporthalle;Sporthalle;11.4262709540001;47.2847309110001
11;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.3934926360001;47.2849173920001
12;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.393912518;47.284671916
13;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.393686454;47.284607131
14;Sporthalle VS Mühlau;Hauptplatz 3;Sporthalle;Sporthalle;11.4121155020001;47.2837381900001
15;Sportplatz Mühlenweg;Mühlenweg;Sportplatz;Spielplatz;11.4153060100001;47.283270794
16;Sportplatz Mühlenweg;Mühlenweg;Basketballplatz;Funsport;11.4149247390001;47.2832541000001
17;Spielplatz Gramartwiese;Gramartstraße;Sportplatz;Spielplatz;11.377228997;47.2827927070001
18;Klettergarten Höttinger Steinbruch (ÖAV);Höhenstraße;Klettergarten;Fitness/Klettern;11.3943376140001;47.2821982080001
19;Spielplatz Jugendwohnheim Schwedenhaus;Rennweg 17b;Sportplatz;Spielplatz;11.3993704820001;47.277247743
20;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Leichtathletikanlage;Sonstiges;11.4001868340001;47.2762179850001
21;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11.436514174;47.2752180140001
22;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11.436285652;47.2751741880001
23;Spielplatz Schützenstraße;Schützenstraße;Sportplatz;Spielplatz;11.435498936;47.27468084
24;Spielplatz Reichenauerpromenade;Reichenauer Straße;Beachvolleyballplatz;Funsport;11.426741491;47.2748708300001
25;Spielplatz Reichenauerpromenade;Reichenauer Straße;Streetballplatz;Funsport;11.4273048430001;47.2746943980001
26;Spielplatz Grüngürtel Reichenau Ost;Roßbachstraße;Sportplatz;Spielplatz;11.4223628400001;47.274699436
